,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 Google_UX_mixtral Score
0,85.707
1,85.138
2,83.369
3,69.449
4,85.861
5,87.586
6,84.966
7,75.685
8,91.088
9,87.898
10,84.967
11,87.888
12,85.833
13,87.115
14,85.829
15,87.575
16,81.827
17,82.588
18,85.583
19,82.545
20,85.456
21,85.703
22,83.376
23,83.006
24,85.246
25,90.357
26,82.914
27,81.979
28,88.648
29,81.276
30,84.98
31,78.132
32,85.15
33,88.483
34,85.147
35,82.265
36,84.222
37,87.412
38,85.598
39,83.154
40,86.688
41,84.338
42,87.054
43,85.567
44,85.523
45,87.407
46,85.884
47,85.308
48,87.041
49,88.849
50,89.461
51,86.665
52,86.961
53,85.98
54,83.96
55,88.233
56,86.305
57,85.834
58,83.514
59,85.542
60,86.952
61,88.268
62,87.833
63,86.731
64,83.784
65,86.661
66,84.322
67,87.061
68,85.607
69,85.552
70,85.25
71,83.826
72,88.088
73,83.403
74,82.927
75,85.069
76,87.087
77,85.672
78,84.748
79,86.032
80,83.811
81,85.194
82,83.848
83,81.277
84,85.845
85,84.55
86,81.929
87,85.59
88,86.015
89,82.715
90,85.74
91,84.561
92,82.992
93,87.04
94,84.86
95,84.985
96,88.48
97,84.311
98,86.168
99,85.183
100,88.354
101,86.978
102,86.429
103,84.872
104,86.21
105,85.486
106,85.412
107,84.989
108,86.93
109,83.789
110,88.852
111,89.128
112,85.948
113,85.412
114,88.063
115,85.994
116,86.953
117,86.269
118,86.862
119,86.58
120,88.677
121,84.914
122,86.084
123,86.583
124,86.384
125,86.286
126,78.142
127,86.084
128,87.317
129,76.839
130,84.486
131,84.687
132,83.402
133,83.697
134,82.204
135,81.759
136,80.755
137,86.838
138,86.572
139,89.514
140,86.848
141,84.19
142,84.276
143,77.883
144,82.102
145,85.138
146,82.184
147,75.887
148,85.176
149,85.705
150,87.5
151,81.332
152,85.675
153,84.662
154,81.313
155,86.265
156,80.571
157,88.843
158,88.74
159,83.668
160,88.254
161,87.123
162,88.406
163,89.103
164,88.738
165,83.54
166,84.382
167,80.603
168,85.383
169,86.269
170,81.806
171,83.39
172,85.322
173,83.69
174,87.566
175,83.68
176,84.861
177,85.353
178,83.469
179,87.014
180,81.851
181,86.565
182,86.602
183,84.985
184,84.368
185,86.513
186,82.855
187,87.556
188,86.73
189,87.971
190,86.697
191,73.845
192,87.748
193,83.603
194,81.159
195,86.336
196,84.027
197,79.204
198,83.71
199,83.416
200,79.342
201,82.009
202,90.744
203,85.634
204,85.245
205,85.356
206,85.49
207,86.29
208,85.923
209,87.485
210,86.39
211,84.103
212,85.389
213,84.715
214,84.665
215,85.011
216,88.094
217,83.799
218,78.365
219,84.847
220,84.626
221,84.544
222,85.802
223,85.029
224,79.585
225,86.329
226,87.264
227,84.546
228,85.169
229,89.408
230,84.506
231,86.94
232,84.813
233,90.082
234,82.305
235,87.42
236,86.47
237,87.568
238,86.411
239,82.448
240,82.116
241,86.057
242,81.074
243,85.163
244,87.266
245,87.302
246,81.219
247,83.89
248,89.479
249,86.963
250,86.734
251,83.84
252,84.285
253,86.175
254,87.859
255,87.789
256,84.127
257,83.326
258,86.196
259,79.37
